,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
548,Out for Blood,Kristen Painter,http://ecx.images-amazon.com/images/I/51ScmmPQDqL.jpg,Orbit (US),$7.99,448,NOVEL,pb,2012-10-30
549,Stray Souls,Kate Griffin,http://ecx.images-amazon.com/images/I/513aIB82zBL.jpg,Orbit (US),$14.99,438,NOVEL,tp,2012-10-30
550,The Parasol Protectorate: Boxed Set,Gail Carriger,http://ecx.images-amazon.com/images/I/51NYx2CHFcL.jpg,Orbit (US),$39.99,373+388+355+374+386,OMNIBUS,pb,2012-10-30
551,The Newsflesh Trilogy Boxed Set,Mira Grant,http://ecx.images-amazon.com/images/I/51UP3F0DZRL.jpg,Orbit (US),$25.99,1892,OMNIBUS,pb,2012-10-30
552,Out for Blood,Kristen Painter,http://ecx.images-amazon.com/images/I/51HSYUJ3rJL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-10-30
553,Stray Souls,Kate Griffin,http://ecx.images-amazon.com/images/I/51XZD7QUEYL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-10-30
554,The Parasol Protectorate: Boxed Set,Gail Carriger,http://ecx.images-amazon.com/images/I/51NYx2CHFcL.jpg,Orbit (US),$19.99,,OMNIBUS,ebook,2012-10-30
555,The Ascendant Stars,Michael Cobley,http://www.isfdb.org/wiki/images/0/08/THSCNDNTSB2012.jpg,Orbit (US),$7.99,xvii+487,NOVEL,pb,2012-11-00
556,The Culture,Iain M. Banks,http://ecx.images-amazon.com/images/I/51yZkE-BOmL.jpg,Orbit (US),$29.99,1472,OMNIBUS,tp,2012-11-06
557,The Godspeaker Trilogy,Karen Miller,http://ecx.images-amazon.com/images/I/518YOBdFnrL.jpg,Orbit (US),$19.99,1436,OMNIBUS,tp,2012-11-13
558,The Godspeaker Trilogy,Karen Miller,http://ecx.images-amazon.com/images/I/516Fugcx90L.jpg,Orbit (US),$19.99,,OMNIBUS,ebook,2012-11-13
559,Red Country,Joe Abercrombie,http://ecx.images-amazon.com/images/I/51Wr0XlAYzL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-11-13
560,Spirit's End,Rachel Aaron,http://ecx.images-amazon.com/images/I/514TMaVVBiL.jpg,Orbit (US),$14.99,536,NOVEL,tp,2012-11-20
561,The Ascendant Stars,Michael Cobley,http://ecx.images-amazon.com/images/I/51Z8NIxF6xL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-11-20
562,Spirit's End,Rachel Aaron,http://ecx.images-amazon.com/images/I/51JyrFU7MzL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-11-20
563,Chasing the Moon,A. Lee Martinez,http://ecx.images-amazon.com/images/I/51j82NwmcSL.jpg,Orbit (US),$21.99,448,NOVEL,tp,2012-11-29
564,The Damnation Affair,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51BwrL3QmgL.jpg,Orbit (US),$4.99,,NOVEL,ebook,2012-12-01
565,The Folly of the World,Jesse Bullington,http://ecx.images-amazon.com/images/I/51CIyiuS0kL.jpg,Orbit (US),$15.99,499,NOVEL,tp,2012-12-18
566,The Folly of the World,Jesse Bullington,http://ecx.images-amazon.com/images/I/51xRTbHURQL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-12-18
567,Promise of Blood,Brian McClellan,http://ecx.images-amazon.com/images/I/51-GsXzAkvL.jpg,Orbit (US),$16.00,545,NOVEL,tp,2014-04-08
568,Ice Forged,Gail Z. Martin,http://ecx.images-amazon.com/images/I/51bsemGhFKL.jpg,Orbit (US),$15.99,563,NOVEL,tp,2013-01-08
569,The Hedgewitch Queen,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51dKZ6S6WjL.jpg,Orbit (US),$18.99,467,NOVEL,tp,2013-01-08
570,The Bandit King,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51xsyvTFIcL.jpg,Orbit (US),$16.99,285,NOVEL,tp,2013-01-08
571,Ice Forged,Gail Z. Martin,http://ecx.images-amazon.com/images/I/515p2p%2B15fL.jpg,Orbit (US),$1.99,,NOVEL,ebook,2013-01-08
572,Seven Kings,John R. Fultz,http://ecx.images-amazon.com/images/I/51b4zhfryoL.jpg,Orbit (US),$15.99,472,NOVEL,tp,2013-01-15
573,Seven Kings,John R. Fultz,http://ecx.images-amazon.com/images/I/51NlujKnLIL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-01-15
574,Jill Kismet: The Complete Series,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51g6ldnaWmL.jpg,Orbit (US),$19.99,1371,OMNIBUS,tp,2013-01-22
575,The Red Knight,Miles Cameron,http://ecx.images-amazon.com/images/I/515kn%2BuuAlL.jpg,Orbit (US),$16.99,648,NOVEL,tp,2013-01-22
576,The Red Knight,Miles Cameron,http://ecx.images-amazon.com/images/I/51Hsg5XNmfL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2013-01-22
577,Jill Kismet: The Complete Series,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/518x4lhtzpL.jpg,Orbit (US),$9.99,,OMNIBUS,ebook,2013-01-22
