,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
969,Hope and Red,Jon Skovron,9780316268110,9.99,490,NOVEL,tp,2016-06-28,Orbit (US),http://ecx.images-amazon.com/images/I/51%2BHSweztkL.jpg,171500.0,2016
970,Hope and Red,Jon Skovron,9780316268134,1.99,,NOVEL,ebook,2016-06-28,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/510CMPkB0cL.jpg,171500.0,2016
971,Imprudence,Gail Carriger,9780316212212,25.0,352,NOVEL,hc,2016-07-19,Orbit (US),http://www.isfdb.org/wiki/images/5/5c/MPRDNCTHCS2016.jpg,123200.0,2016
972,Imprudence,Gail Carriger,9780316212199,13.99,,NOVEL,ebook,2016-07-19,Orbit (US),http://ecx.images-amazon.com/images/I/614eFtsEknL.jpg,123200.0,2016
973,Imprudence,Gail Carriger,9780316212205,15.99,352,NOVEL,tp,2017-02-07,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/614buxoWqJL.jpg,123200.0,2017
974,The Shadow of What Was Lost,James Islington,9780316552745,4.99,,NOVEL,ebook,2016-07-19,Orbit (US),http://ecx.images-amazon.com/images/I/51oul60C3fL.jpg,242550.0,2016
975,The Shadow of What Was Lost,James Islington,9780316274098,26.0,693,NOVEL,hc,2016-11-08,Orbit (US),http://ecx.images-amazon.com/images/I/51hfHQkL61L.jpg,242550.0,2016
976,The Shadow of What Was Lost,James Islington,9780316274074,15.99,693,NOVEL,tp,2017-05-09,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51hfHQkL61L.jpg,242550.0,2017
977,Wasteland King,Lilith Saintcrow,9780316277914,15.99,316,NOVEL,tp,2016-07-26,Orbit (US),http://ecx.images-amazon.com/images/I/518VqfOFsIL.jpg,110600.0,2016
978,Wasteland King,Lilith Saintcrow,9780316277907,9.99,,NOVEL,ebook,2016-07-26,Orbit (US),http://ecx.images-amazon.com/images/I/51gfx3No0YL.jpg,110600.0,2016
979,Bite,K. S. Merbeth,9780316308700,9.99,374,NOVEL,tp,2016-07-26,Orbit (US),http://ecx.images-amazon.com/images/I/51mtxiIysiL.jpg,130900.0,2016
980,Bite,K. S. Merbeth,9780316308687,8.99,,NOVEL,ebook,2016-07-26,Orbit (US),http://ecx.images-amazon.com/images/I/51j-Dd2sOYL.jpg,130900.0,2016
981,Behind the Throne,K. B. Wagers,9780316308601,14.99,406,NOVEL,tp,2016-08-02,Orbit (US),http://ecx.images-amazon.com/images/I/51ryTZJ7P5L.jpg,142100.0,2016
982,Behind the Throne,K. B. Wagers,9780316308595,9.99,,NOVEL,ebook,2016-08-02,Orbit (US),http://ecx.images-amazon.com/images/I/51Fdp5It8cL.jpg,142100.0,2016
983,The Obelisk Gate,N. K. Jemisin,9780316229265,15.99,407,NOVEL,tp,2016-08-16,Orbit (US),http://ecx.images-amazon.com/images/I/61Kn6y2nA6L.jpg,142450.0,2016
984,The Obelisk Gate,N. K. Jemisin,9780316229289,9.99,,NOVEL,ebook,2016-08-16,Orbit (US),http://ecx.images-amazon.com/images/I/61Y421UsStL.jpg,142450.0,2016
985,Origins,Jamie Sawyer,9780316386487,9.99,443,NOVEL,pb,2016-08-30,Orbit (US),http://ecx.images-amazon.com/images/I/51PqXVXcVeL.jpg,155050.0,2016
986,Origins,Jamie Sawyer,9780316386463,9.99,,NOVEL,ebook,2016-08-30,Orbit (US),http://ecx.images-amazon.com/images/I/51czoaCGUsL.jpg,155050.0,2016
987,Wolfhound Empire,Peter Higgins,9780316361712,17.99,960,OMNIBUS,tp,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/51vZrwGemCL.jpg,336000.0,2016
988,Wolfhound Empire,Peter Higgins,9780316434362,11.99,,OMNIBUS,ebook,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/51Ezl1%2BecgL.jpg,336000.0,2016
989,Chasing Embers,James Bennett,9780316390699,14.99,419,NOVEL,tp,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/51ABlMZG5AL.jpg,146650.0,2016
990,Chasing Embers,James Bennett,9780316390712,9.99,,NOVEL,ebook,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/51eCY3UvE%2BL.jpg,146650.0,2016
991,Forsaken Skies,D. Nolan Clark,9780316355698,15.99,568,NOVEL,tp,2016-09-06,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51Kf8MiZzAL.jpg,198800.0,2016
992,Forsaken Skies,D. Nolan Clark,9780316355704,9.99,,NOVEL,ebook,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/51ABcF5zutL.jpg,198800.0,2016
993,A Tale of the Free: Tyrant,Brian Ruckley,9780316356985,1.99,,CHAPBOOK,ebook,2016-09-06,Orbit (US),http://ecx.images-amazon.com/images/I/61%2BPngD1a0L.jpg,,2016
994,Revenger,Alastair Reynolds,9780316555623,9.99,,NOVEL,ebook,2016-10-01,Orbit (US),http://ecx.images-amazon.com/images/I/51dpVSBApDL.jpg,,2016
995,Feedback,Mira Grant,9780316379342,25.0,489,NOVEL,hc,2016-10-04,Orbit (US),http://ecx.images-amazon.com/images/I/51IjttX1Z4L.jpg,171150.0,2016
996,Feedback,Mira Grant,9780316379328,13.99,,NOVEL,ebook,2016-10-04,Orbit (US),http://ecx.images-amazon.com/images/I/51ToJq-%2BaNL.jpg,171150.0,2016
997,Feedback,Mira Grant,9780316379311,9.99,550,NOVEL,tp,2017-05-30,Orbit (US),http://www.isfdb.org/wiki/images/7/70/FDBCKGXPWQ2017.jpg,171150.0,2017
998,Conspiracy of Ravens,Lila Bowen,9780316302272,25.0,356,NOVEL,hc,2016-10-11,Orbit (US),http://ecx.images-amazon.com/images/I/517Ra%2B%2BScQL.jpg,124600.0,2016
999,Conspiracy of Ravens,Lila Bowen,9780316302265,13.99,,NOVEL,ebook,2016-10-11,Orbit (US),http://ecx.images-amazon.com/images/I/51cfoLUDyfL.jpg,124600.0,2016
1000,Conspiracy of Ravens,Lila Bowen,9780316264358,15.99,354,NOVEL,tp,2017-07-18,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51yI4ENTjcL.jpg,124600.0,2017
1001,Chaosmage,Stephen Aryan,9780316298346,16.99,454,NOVEL,tp,2016-10-11,Orbit (US),http://ecx.images-amazon.com/images/I/51ol15%2BBWXL.jpg,158900.0,2016
1002,Chaosmage,Stephen Aryan,9780316298353,11.99,,NOVEL,ebook,2016-10-11,Orbit (US),http://ecx.images-amazon.com/images/I/513SoNKlXlL.jpg,158900.0,2016
1003,The Blood Mirror,Brent Weeks,9780316251334,28.0,xxii+682,NOVEL,hc,2016-10-25,Orbit (US),http://www.isfdb.org/wiki/images/c/c5/THBLDMRRRL2016.jpg,238700.0,2016
1004,The Blood Mirror,Brent Weeks,9780316251310,14.99,,NOVEL,ebook,2016-10-25,Orbit (US),http://ecx.images-amazon.com/images/I/51OEXtxfL0L.jpg,238700.0,2016
